%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82195.152,300.474,0.953,15.122,108.966,0.152,91.378,93.452,95.908,96.819,97.117,93.056,92.853,93.957,95.17,96.658,99.202,92.884,99.465,97.64,96.446,93.739,0.004,-0.024,0.37,-0.001,535.048,336.269
82187.089,300.475,0.953,15.129,109.045,-0.008,91.594,93.228,95.908,96.61,96.901,93.783,92.639,92.991,95.393,96.136,98.885,92.671,99.151,96.489,95.2,94.077,0.004,-0.024,0.37,-0.001,535.048,336.269
82191.121,300.474,0.953,15.117,108.887,0.472,90.295,92.67,95.801,95.669,95.928,92.12,91.676,92.026,94.051,95.823,96.983,91.926,97.999,96.07,94.889,93.175,0.004,-0.024,0.39,0,535.048,336.269
82183.058,300.477,0.953,15.118,108.887,-0.008,90.944,91.889,94.944,95.355,95.279,92.432,91.89,92.455,94.163,95.823,98.251,91.075,97.894,95.547,94.058,93.626,0.015,-0.043,0.39,0.001,535.048,336.269
82191.121,300.469,0.953,15.106,108.729,0.152,90.186,92.558,94.302,95.251,95.603,91.6,91.355,91.919,94.051,94.779,97.195,91.394,97.475,96.28,94.058,93.4,0.025,-0.005,0.36,0,535.048,336.269
82183.058,300.47,0.953,15.107,108.729,-0.008,90.403,93.787,95.265,95.982,96.36,93.367,91.89,92.455,94.722,95.405,98.251,92.352,98.522,96.698,94.785,94.641,-0.017,-0.024,0.36,-0.001,535.048,336.269
82187.089,300.474,0.953,20.043,191.394,0.312,165.324,166.919,169.231,170.427,169.901,166.773,166.558,166.784,168.447,169.413,171.781,165.34,171.289,169.143,168.079,165.932,0.004,-0.024,0.624,-0.001,535.048,336.269
82183.058,300.47,0.953,20.043,191.394,0.152,163.484,165.69,168.267,167.604,168.604,165.006,164.205,165.283,166.993,168.787,170.724,164.276,171.498,168.097,167.872,166.383,0.035,-0.024,0.634,-0.001,535.048,336.269
82183.058,300.47,0.953,20.039,191.315,0.152,163.917,165.466,168.374,168.545,168.604,165.422,165.382,165.176,167.664,168.995,170.724,164.276,170.87,168.306,166.937,165.819,0.025,-0.005,0.634,0.001,535.048,336.269
82187.089,300.47,0.953,20.03,191.157,0.312,163.484,165.02,168.052,168.858,168.279,164.59,164.098,164.21,165.091,167.638,169.879,163.318,170.032,168.725,167.145,165.932,0.015,-0.024,0.624,0,535.048,336.269
82191.121,300.472,0.953,20.034,191.236,-0.008,163.592,166.136,167.624,168.858,168.82,165.733,165.489,165.283,167.328,167.638,171.041,164.488,170.765,169.353,167.872,166.609,0.015,-0.005,0.634,-0.001,535.048,336.269
82183.058,300.47,0.953,20.043,191.394,0.312,164.025,166.806,168.159,168.44,168.928,165.94,164.954,166.57,167.105,168.787,171.041,165.233,170.765,169.667,168.391,168.639,0.015,-0.024,0.634,-0.001,535.048,336.269
82187.089,300.47,0.953,20.043,191.394,0.312,165,167.811,169.765,170.845,169.793,167.188,166.772,166.784,169.118,169.622,173.365,166.191,172.545,170.923,168.806,169.655,0.025,0.014,0.634,-0.001,535.048,336.269
82187.089,300.472,0.953,20.026,191.078,0.312,165.433,168.258,170.621,171.472,171.632,167.916,167.628,167.32,169.118,170.039,173.26,166.936,172.964,171.446,170.052,168.865,0.015,-0.005,0.634,-0.001,535.048,336.269
82183.058,300.469,0.953,20.022,190.999,0.312,165.974,168.927,170.193,171.786,171.524,168.644,167.842,168.5,170.321,170.144,174.211,167.787,174.011,172.493,171.298,170.783,0.046,-0.005,0.634,-0.001,535.048,336.269
82187.089,300.47,0.953,20.022,190.999,0.152,166.948,169.709,172.12,172.518,173.47,169.683,169.232,169.465,171.551,173.483,174.105,169.063,174.43,173.225,170.986,170.331,0.035,-0.024,0.634,0,535.048,336.269
82187.089,300.47,0.953,20.022,190.999,0.312,167.057,168.369,171.05,171.681,170.875,168.228,167.949,168.071,170.88,171.395,173.788,167.042,173.278,171.341,171.09,168.865,0.025,-0.043,0.634,0,535.048,336.269
82183.058,300.47,0.953,20.01,190.762,0.312,166.515,167.811,170.407,170.845,171.524,167.604,167.735,167.642,170.321,170.769,172.943,167.148,173.487,171.341,169.948,167.511,0.035,-0.024,0.645,0,535.048,336.269
82195.152,300.47,0.953,20.004,190.683,0.152,165,167.141,169.765,169.695,170.55,166.98,165.809,167.106,168.756,169.621,171.781,166.51,172.44,170.085,169.117,167.511,0.015,-0.005,0.645,-0.001,535.048,336.269
82199.184,300.47,0.953,20.008,190.762,-0.008,164.025,167.253,169.23,170.426,169.901,166.98,166.451,166.462,168.532,170.56,172.309,166.404,172.336,170.268,169.325,167.624,0.004,0.014,0.645,0,535.048,336.269
82183.058,300.472,0.953,20.002,190.604,0.312,165.649,166.136,169.444,169.904,169.901,166.772,165.809,166.355,167.302,169.099,171.147,164.488,171.393,169.326,167.976,166.158,0.004,-0.005,0.614,-0.001,535.048,336.269
82191.121,300.472,0.953,19.997,190.525,0.152,163.592,165.466,166.768,168.126,167.955,165.317,164.739,165.282,166.743,167.951,170.619,164.488,171.289,169.326,168.495,166.608,0.035,-0.005,0.634,-0.001,535.048,336.269
82191.121,300.472,0.953,19.98,190.209,0.312,164.35,166.248,169.444,169.067,169.793,166.668,165.06,165.926,167.302,168.994,170.196,164.488,171.184,168.071,167.456,166.27,0.004,0.014,0.645,-0.001,535.048,336.269
82183.058,300.47,0.953,19.981,190.209,0.312,163.376,165.801,168.266,168.754,168.712,165.421,165.06,164.96,166.966,168.577,171.253,165.02,171.289,169.64,167.768,166.947,0.015,-0.024,0.645,-0.001,535.048,336.269
82187.089,300.472,0.953,19.972,190.05,-0.008,163.809,166.248,169.016,169.381,170.118,166.356,166.13,167.32,167.861,169.934,171.781,165.552,172.44,170.791,169.429,168.188,-0.037,-0.005,0.655,-0.001,535.048,336.269
82187.089,300.467,0.953,19.972,190.05,-0.008,165.324,168.593,169.444,171.159,171.091,167.604,167.414,167.749,169.203,169.516,173.26,166.616,172.754,171.419,169.325,169.88,0.004,-0.024,0.624,0,535.048,336.269
82183.058,300.456,0.953,25.185,302.194,-0.168,258.758,262.491,263.319,264.841,264.422,261.804,261.123,261.599,262.736,263.983,267.073,261.202,266.774,266.234,262.903,264.408,0.015,-0.082,0.929,0,535.048,336.269
82187.089,300.457,0.953,25.187,302.273,-0.168,260.707,263.161,265.459,265.782,266.694,263.156,263.048,263.529,264.302,266.175,268.763,263.223,268.973,266.966,266.433,264.746,0.004,0.014,0.899,0.001,535.048,336.269
82187.089,300.459,0.953,25.174,301.957,0.312,262.981,265.729,267.706,268.815,268.64,266.379,264.653,265.245,266.092,266.697,269.291,263.862,268.763,267.804,264.668,266.1,0.015,-0.024,0.888,0.001,535.048,336.269
82187.089,300.457,0.953,25.177,302.036,-0.488,260.599,264.501,265.887,266.409,267.126,264.715,264.867,264.066,266.092,267.532,269.608,264.5,271.066,268.536,267.887,266.776,-0.006,-0.005,0.888,0,535.048,336.269
82187.089,300.454,0.953,25.171,301.878,0.152,263.306,265.841,267.278,269.127,268.424,266.483,264.974,266.854,267.546,269.619,271.827,266.415,271.381,271.571,268.51,271.063,0.015,-0.082,0.878,-0.001,535.048,336.269
